name,location,diff,tier,type,server,links,finder,prover,extra
Building with Escalators,Sand Kingdom,0/10,Practice Tier,"Vertical, Backflip, Capless",Database,https://drive.google.com/file/d/1VMl3QJVu0sbf3MWpNTpTv0hpiMSJazv-/preview,Polygon,Polygon,
Planting for a Longjump,Sand Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1AtmOmFgiPIHKJj7RrS7kHxpNhRThc5yB/preview,Polygon,Polygon,
Lost Stair Skipper,Lost Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1cyQcofyq8PPUxVxqvKf827tcOvQdgcMg/preview,,,
Pillar,Lake Kingdom,0/10,Practice Tier,"Double Jump, Vertical",Database,https://drive.google.com/file/d/1Rust8o_tKQLQCvmfLT2ycW0QLTIM0iIg/preview,,,Throwing Cappy at the Wall for the WJ is Not Allowed!
Kleprolling 2.0,Lost Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1bjr2euYTIypXXsmJ9Cr_rdVgkNeb07zD/preview,,,
Kleprolling 3.0,Lost Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1uBNfFavMnd0jDstyn0UFnkUgUflJxaBE/preview,,,
Cloudy Clouds,Cloud Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/16DBYpKQfjs8bsPZzjK8ARcGK1a_FE6gY/preview,Sami,Sami,
Pond Roll,Cap Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1ryHjsGBZMI7Zu40RNEzB2H9NB4L0sorF/preview,,,
Sky Hedge Platform,Metro Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1jgc4Oe-c3fnFCDSoPU-1g2K3pjl4_P9c/preview,Sami,Sami,
Thing,Bowser's Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1w3CdcvfzHuOjg417wi29-wG-t0CPhnk2/preview,Clash_Gamer,Clash_Gamer,
Bridge Bonking,Cascade Kingdom,0/10,Practice Tier,Dive,Database,https://drive.google.com/file/d/16d9Nr-TYuyI8MwZqhErPIcMCT-cLdi3E/preview,high_smo,high_smo,
It's cold up here,Snow Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1Ulf6oQ8On_n45p_jutbuzrdiPep1icK6/preview,high_smo,high_smo,
Cloudy Backflip,Cloud Kingdom,0/10,Practice Tier,"Backflip, Capless, Diveless",Database,https://drive.google.com/file/d/1Yq8UFZnaT7vFSqRyoAdAyWvRroC2cn1E/preview,Sami,Sami,
Jumps have Brains,Cap Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1E_fIN2Sm8frB7bzO2zmNPEdDsr8nhdUo/preview,Pato_0Z,Pato_0Z,
Brains have Jumps,Cap Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1alnA1vFb3PYEc2X2ccBXcY7ytMCQX9m1/preview,Pato_0Z,Pato_0Z,
Insanity 14.0,Wooded Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1XkEk7kUX2VD_tkobnbgrgB84O_cL9Qpz/preview,,,
Insanity 15.0,Mushroom Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1_LshEjEnmc5D9a5SvdsFh7iR22WEIAAz/preview,,,
XD Skip,Moon Kingdom,0/10,Practice Tier,2D,Database,https://drive.google.com/file/d/1VQ8PcLBx5N9pxGV9BT-4UuxxykfyQ1Af/preview,SmallAnt,SmallAnt,
Truester Impossible Bonk,Cap Kingdom,0/10,Practice Tier,Bonk,Database,https://drive.google.com/file/d/1yqt0wy4IbFgxJmrh_1tvt0bDy5-dQagy/preview,,,
Glydon Invisable Platform,Sand Kingdom,0/10,Practice Tier,Glydon Jump,Database,https://drive.google.com/file/d/1ohwOcWy8uwDdX7HHUFGhqFIKABVzWUSo/preview,Boesertoad,Boesertoad,
Roll Crossing,Luncheon Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1t4iyhnd3yu8GEXwJXw0_OcQ6httsM8oW/preview,RivaZ,RivaZ,
Don't Name Roll Boosts Insanity,Snow Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1NcBGpFJJuFQsdbVD954R7NOoZE8N-6uv/preview,RivaZ,RivaZ,
Ay chihuahua!,Bowser's Kingdom,0/10,Practice Tier,Single Jump,Database,https://drive.google.com/file/d/1uW155C9793yNrfSt-Lcpe6iUs1Agzzb1/preview,,,
G,Seaside Kingdom,0/10,Practice Tier,"Capture Jump, Entity Bounce",Database,https://drive.google.com/file/d/1QFO6Q40quH7C3SlVpG1q4xGmGCOsrWeW/preview,RivaZ,RivaZ,
Im Slim Shady and i like to rap,Snow Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/14l3xFObj4c2SIqeEg4_djv8cdd7ZCzdZ/preview,RivaZ,RivaZ,
QWERTYUIOPASDFGHJKLZXCVBNM,Bowser's Kingdom,0/10,Practice Tier,"Backflip, Capless, Diveless",Database,https://drive.google.com/file/d/1fPPwPbAm93dmdLTXplGDvXJ5AS-C6vXe/preview,,RivaZ,
AZERTYUIOPQSDFGHJKLMWXCVBN,Bowser's Kingdom,0/10,Practice Tier,"Backflip, Capless",Database,https://drive.google.com/file/d/17hoL_HAorakouWxitxCaVYgn-LKW2yn8/preview,,RivaZ,
ABCDEFGHIJKLMNOPQRSTUVWXYZ,Bowser's Kingdom,0/10,Practice Tier,"Backflip, Capless",Database,https://drive.google.com/file/d/1dyK6-6d5qQpyeS7YNiw-GCNsRzJlDqKv/preview,,RivaZ,
Extended Backpipe Walljump Snow Dram Trickjump,Cascade Kingdom,0/10,Practice Tier,,Database,https://drive.google.com/file/d/1G2Kh8tag6k-K3L83SaU9eQXWkMhCSXVl/preview,JoniKauf,JoniKauf,You must stay on the platform after landing!
Th,Mushroom Kingdom,0/10,Practice Tier,"Backflip, Capless, Diveless",Database,https://drive.google.com/file/d/1_Kr3_7PHNjn3lEr5I4mHsuXNzI1ykhPE/preview,CToad7,CToad7,
Toad's Hedge,Mushroom Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/195QipIcaoEuSfixQhsW5ajtlHi2Y8K-5/preview,,,
Joni's Favorite Juice is Raspberry Juice,Metro Kingdom,0/10,Practice Tier,Uncapture,Database,https://drive.google.com/file/d/11HVFnAfXlxpKATcIytg45E8lOYDBngih/preview,RivaZ,RivaZ,
Taxi,Metro Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1xkXZg25Gp4RUZvG0AExtBUQ9suf7wdxz/preview,,RivaZ,
Swag Roll Boost,Bowser's Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1LPY6WxifwU_XjC4C8Nm7RdW6486mZpaa/preview,,,
wow,Moon Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1fV7flQwUZvrKq5W5kUak87Av6U4mYyG6/preview,,,
Roll,Moon Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1qWtZPEHTQdlPQu1L7Bg0CBjvzwbZlna-/preview,,,
Cloud Skipper Beans,Cloud Kingdom,0.5/10,Beginner,Vault,Database,https://drive.google.com/file/d/1ZuHr2aImYb7ymXlbAi4uc_PTmRKZL6o_/preview,Flavien,Flavien,
Pregnant,Luncheon Kingdom,0.5/10,Beginner,"Capture Jump, Capless",Database,https://drive.google.com/file/d/1rKVoYA-jX51vEZYP3qYSP0lyu-txamJ3/preview,Fud,Fud,
Mushroom Dram 0.0,Mushroom Kingdom,0.5/10,Beginner,"Longjump, Spinless",Database,https://drive.google.com/file/d/128w2vBN2XTAfLevwi82cwRykDsX3Eikk/preview,Jakobus2000,Jakobus2000,
Nut Fall,Wooded Kingdom,0.5/10,Beginner,Longjump,Database,https://drive.google.com/file/d/1VyC-863ieTEnthnQ0JrCde5OPatrGndg/preview,Tranman64,Tranman64,
Metro Impossible,Metro Kingdom,0.5/10,Beginner,Any,SMO Trickjumping Server,https://drive.google.com/file/d/19pSD0AXGh2YFFyYZ-Nj7dW-gCHG9NXZa/preview,,GoldPoptart,All tech is allowed.
Dino Skip,Cascade Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1BnPGbxFIoxaOYOSyZXSEUNoXJQVK80re/preview,,,
Metallic Gardener,Wooded Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1Xv72fP1J3-2-s-lNDns2BM9Bsc_Z6NVa/preview,,,
Wedding Longfall,Moon Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1ghCAt6qdX2-uJpo1-SN-ji8OQJaX-Eqg/preview,AppleXd,AppleXd,
Fontain,Sand Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1-Er0p7pv8usK2TYnpswnxP0hSrMfvROP/preview,,,
High-Rise Reverse,Metro Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/126E8gJTK0XInExcsGBTqwSPjPJqKryCk/preview,Pink Man,Pink Man,
Capless Frog,Cap Kingdom,0.5/10,Beginner,"Vertical, Triple, Capless",Database,https://drive.google.com/file/d/1fNoBS245ypDOUlYsifokvOhulBogzvxo/preview,b_yoshi,b_yoshi,
Sky Lava Bypass,Luncheon Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1y7Z3ZTzJEmYVVl6rRYiGPBxRQ8eBrMbB/preview,MobbyAshPlayz,MobbyAshPlayz,
Mini Lorak,Darker Side,0.5/10,Beginner,"Single Jump, Vertical, CB-Less",Database,https://drive.google.com/file/d/1zIPWhOmFsThmNc1BJtta4h5cv88g-RgR/preview,Firefox,Firefox,
Lunch Skip,Luncheon Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/18w3Tbp_VasS8biExo908QFCbdxTJtwsi/preview,,,
Far Bar,Metro Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1ZfDm8pQZem3Vp2IZ89mb-eNJSEEFDshK/preview,CToad7,CToad7,
Pylon Valley,Bowser's Kingdom,0.5/10,Beginner,,Database,https://drive.google.com/file/d/1RPp2-_0VZGXX4mS-wQBoTldaT9wQhaQ1/preview,Firefox,Firefox,
